0.0,149.0
16.5,149.0
33.0,149.0
49.5,149.0
57.2,146.6
65.35,137.35
69.85,125.9
69.95,121.8
69.85,117.7
72.75,101.45
74.2,93.35
75.5,89.45
83.75,75.15
89.65,69.65
105.15,64.0
120.65,58.35
136.15,52.7
144.2,52.3
150.65,57.15
152.15,60.95
155.05,77.2
155.35,89.5
155.05,101.8
159.0,113.45
160.8,121.3
161.8,129.3
165.95,136.45
167.45,140.25
168.9,148.35
172.6,155.5
176.95,162.3
178.25,166.2
182.75,177.65
185.65,193.9
185.95,206.2
186.95,214.2
194.65,223.8
205.15,230.2
220.65,235.85
236.15,241.5
251.65,247.15
267.15,252.8
279.2,255.25
286.9,252.85
295.05,243.6
296.85,235.75
295.4,227.6
293.95,219.45
294.95,211.45
296.45,207.65
296.75,195.35
296.65,191.25
299.55,175.0
303.25,167.85
315.9,157.25
328.55,146.65
341.2,136.05
353.85,125.45
364.35,119.05
379.85,113.4
386.3,108.55
394.0,98.95
396.7,95.85
399.25,92.65
405.55,87.35
418.2,76.75
425.65,73.65
442.15,73.65
458.65,73.65
475.15,73.65
487.3,75.5
502.8,81.15
518.3,86.8
529.1,92.7
537.25,101.95
538.75,105.75
537.75,113.75
529.5,128.05
527.7,135.9
531.4,143.05
537.7,148.35
